# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
1 -0.332253634929657 -0.30316829681396484 2.719874620437622 255 255 255 1.0 25 0 26 0
2 -0.32934677600860596 -0.29597824811935425 2.7191989421844482 255 255 255 1.0 25 0 26 0
3 -0.32467392086982727 -0.30592045187950134 2.720059394836426 255 255 255 1.0 25 0 26 0
4 -0.3267670273780823 -0.38567203283309937 2.7425129413604736 255 255 255 1.0 25 0 26 0
5 -0.3187703490257263 -0.6129645109176636 2.7059926986694336 255 255 255 1.0 25 0 26 0
6 -0.3187703490257263 -0.6129645109176636 2.7059926986694336 255 255 255 1.0 25 0 26 0
7 -0.31412047147750854 -0.5804166793823242 2.7110674381256104 255 255 255 1.0 25 0 26 0
8 -0.3134634792804718 -0.3221454620361328 2.72159743309021 255 255 255 1.0 25 0 26 0
9 -0.31009551882743835 -0.5928620100021362 2.714050769805908 255 255 255 1.0 25 0 26 0
10 -0.31009551882743835 -0.5928620100021362 2.714050769805908 255 255 255 1.0 25 0 26 0
11 -0.30738919973373413 -0.6298988461494446 2.7057957649230957 255 255 255 1.0 25 0 26 0
12 -0.30738919973373413 -0.6298988461494446 2.7057957649230957 255 255 255 1.0 25 0 26 0
13 -0.30604833364486694 -0.34561267495155334 2.7280631065368652 255 255 255 1.0 25 0 26 0
14 -0.29997575283050537 -0.5557330250740051 2.717824935913086 255 255 255 1.0 25 0 26 0
15 -0.29770585894584656 -0.5059139728546143 2.720221519470215 255 255 255 1.0 25 0 26 0
16 -0.29636016488075256 -0.2912563681602478 2.722130537033081 255 255 255 1.0 25 0 26 0
17 -0.29603272676467896 -0.49492213129997253 2.7176783084869385 255 255 255 1.0 25 0 26 0
18 -0.29631417989730835 -0.5839369893074036 2.719364881515503 255 255 255 1.0 25 0 26 0
19 -0.2930966913700104 -0.6587792634963989 2.709869861602783 255 255 255 1.0 25 0 26 0
20 -0.2900641858577728 -0.5500324964523315 2.7221839427948 255 255 255 1.0 25 0 26 0
21 -0.28844982385635376 -0.6834171414375305 2.70873761177063 255 255 255 1.0 25 0 26 0
22 -0.28866779804229736 -0.5210960507392883 2.720838785171509 255 255 255 1.0 25 0 26 0
23 -0.287079781293869 -0.33444082736968994 2.7256805896759033 255 255 255 1.0 25 0 26 0
24 -0.285641610622406 -0.5896428823471069 2.7217586040496826 255 255 255 1.0 25 0 26 0
25 -0.2825573682785034 -0.3779624402523041 2.7311384677886963 255 255 255 1.0 25 0 26 0
26 -0.28184252977371216 -0.5069658160209656 2.721327781677246 255 255 255 1.0 25 0 26 0
27 -0.2803869843482971 -0.30167514085769653 2.724518060684204 255 255 255 1.0 25 0 26 0
28 -0.27939870953559875 -0.493530809879303 2.7200074195861816 255 255 255 1.0 25 0 26 0
29 -0.27436017990112305 -0.08282442390918732 2.74271821975708 255 255 255 1.0 25 0 26 0
30 -0.27113425731658936 -0.30569159984588623 2.7240960597991943 255 255 255 1.0 25 0 26 0
31 -0.27284085750579834 -0.588680624961853 2.7264044284820557 255 255 255 1.0 25 0 26 0
32 -0.2712797224521637 -0.3663162589073181 2.728848934173584 255 255 255 1.0 25 0 26 0
33 -0.26920202374458313 -0.5423082709312439 2.730724573135376 255 255 255 1.0 25 0 26 0
34 -0.26920202374458313 -0.5423082709312439 2.730724573135376 255 255 255 1.0 25 0 26 0
35 -0.26854440569877625 -0.1303323209285736 2.7465813159942627 255 255 255 1.0 25 0 26 0
36 -0.2687080204486847 -0.16806215047836304 2.7487456798553467 255 255 255 1.0 25 0 26 0
37 -0.26558080315589905 -0.5749037861824036 2.734327793121338 255 255 255 1.0 25 0 26 0
38 -0.2637224793434143 -0.09996525943279266 2.740386724472046 255 255 255 1.0 25 0 26 0
39 -0.26084667444229126 -0.5217475891113281 2.734037160873413 255 255 255 1.0 25 0 26 0
40 -0.25934791564941406 -0.35315924882888794 2.7278010845184326 255 255 255 1.0 25 0 26 0
41 -0.2564827799797058 -0.4520460367202759 2.722841262817383 255 255 255 1.0 25 0 26 0
42 -0.2560836374759674 -0.359711617231369 2.730225086212158 255 255 255 1.0 25 0 26 0
