pair_name,img1,img2,num_matches,num_inliers,inlier_ratio,reprojection_error,well_distributed
pair_1_3,0001.ppm,0003.ppm,103,92,0.8932038834951457,0.35702747,True
pair_1_4,0001.ppm,0004.ppm,40,37,0.925,0.37045324,True
pair_1_11,0001.ppm,0011.ppm,55,47,0.8545454545454545,0.29590526,True
pair_1_12,0001.ppm,0012.ppm,35,31,0.8857142857142857,0.40835422,True
pair_1_13,0001.ppm,0013.ppm,29,26,0.896551724137931,0.57385224,True
pair_1_33,0001.ppm,0033.ppm,22,17,0.7727272727272727,0.41577148,True
pair_1_34,0001.ppm,0034.ppm,32,29,0.90625,0.35169613,True
pair_1_35,0001.ppm,0035.ppm,38,35,0.9210526315789473,0.85777086,True
pair_2_7,0002.ppm,0007.ppm,52,47,0.9038461538461539,0.7976623,True
pair_2_8,0002.ppm,0008.ppm,90,87,0.9666666666666667,0.36169118,True
pair_2_9,0002.ppm,0009.ppm,28,25,0.8928571428571429,0.23205048,True
pair_2_23,0002.ppm,0023.ppm,23,17,0.7391304347826086,0.50230676,True
pair_2_24,0002.ppm,0024.ppm,28,23,0.8214285714285714,0.28328606,True
pair_2_25,0002.ppm,0025.ppm,42,35,0.8333333333333334,0.7321947,True
pair_2_26,0002.ppm,0026.ppm,40,36,0.9,0.5992241,True
pair_2_27,0002.ppm,0027.ppm,22,19,0.8636363636363636,0.31475964,True
pair_3_4,0003.ppm,0004.ppm,83,74,0.891566265060241,0.6179312,True
pair_3_11,0003.ppm,0011.ppm,98,88,0.8979591836734694,0.68194795,True
pair_3_12,0003.ppm,0012.ppm,151,144,0.9536423841059603,0.40374628,True
pair_3_13,0003.ppm,0013.ppm,97,91,0.9381443298969072,0.5984045,True
pair_3_14,0003.ppm,0014.ppm,53,47,0.8867924528301887,0.69527936,True
pair_3_15,0003.ppm,0015.ppm,21,16,0.7619047619047619,0.3171238,True
pair_3_32,0003.ppm,0032.ppm,33,23,0.696969696969697,0.50651354,True
pair_3_33,0003.ppm,0033.ppm,79,73,0.9240506329113924,0.73416626,True
pair_3_34,0003.ppm,0034.ppm,117,110,0.9401709401709402,0.37864104,True
pair_3_35,0003.ppm,0035.ppm,171,160,0.935672514619883,0.45495337,True
pair_4_5,0004.ppm,0005.ppm,20,16,0.8,0.56104565,True
pair_4_12,0004.ppm,0012.ppm,76,68,0.8947368421052632,0.28723368,True
pair_4_13,0004.ppm,0013.ppm,72,59,0.8194444444444444,0.45679927,True
pair_4_14,0004.ppm,0014.ppm,60,54,0.9,0.37271345,True
pair_4_15,0004.ppm,0015.ppm,39,34,0.8717948717948718,0.77359724,True
pair_4_16,0004.ppm,0016.ppm,25,21,0.84,0.35829917,True
pair_4_33,0004.ppm,0033.ppm,26,20,0.7692307692307693,0.50766677,True
pair_4_34,0004.ppm,0034.ppm,36,31,0.8611111111111112,0.51305157,True
pair_4_35,0004.ppm,0035.ppm,48,42,0.875,0.4804535,True
pair_5_6,0005.ppm,0006.ppm,19,16,0.8421052631578947,0.22247553,True
pair_5_17,0005.ppm,0017.ppm,20,15,0.75,0.29600728,True
pair_5_18,0005.ppm,0018.ppm,22,18,0.8181818181818182,0.39693874,True
pair_6_7,0006.ppm,0007.ppm,61,49,0.8032786885245902,0.48598528,True
pair_6_20,0006.ppm,0020.ppm,38,31,0.8157894736842105,0.63180244,True
pair_6_21,0006.ppm,0021.ppm,47,39,0.8297872340425532,0.37572637,True
pair_6_22,0006.ppm,0022.ppm,49,43,0.8775510204081632,0.85889983,True
pair_6_23,0006.ppm,0023.ppm,46,29,0.6304347826086957,0.9860594,True
pair_6_24,0006.ppm,0024.ppm,39,25,0.6410256410256411,0.39102006,True
pair_6_25,0006.ppm,0025.ppm,33,24,0.7272727272727273,0.19235933,True
pair_6_26,0006.ppm,0026.ppm,25,20,0.8,0.5398793,True
pair_7_8,0007.ppm,0008.ppm,120,112,0.9333333333333333,0.5750759,True
pair_7_21,0007.ppm,0021.ppm,40,35,0.875,0.45591125,True
pair_7_22,0007.ppm,0022.ppm,78,70,0.8974358974358975,0.69550455,True
pair_7_23,0007.ppm,0023.ppm,119,114,0.957983193277311,0.51649433,True
pair_7_24,0007.ppm,0024.ppm,129,126,0.9767441860465116,0.3593696,True
pair_7_25,0007.ppm,0025.ppm,117,113,0.9658119658119658,0.24374534,True
pair_7_26,0007.ppm,0026.ppm,87,82,0.9425287356321839,0.3014916,True
pair_7_27,0007.ppm,0027.ppm,53,46,0.8679245283018868,0.34035903,True
pair_7_28,0007.ppm,0028.ppm,24,20,0.8333333333333334,0.6029976,True
pair_8_9,0008.ppm,0009.ppm,74,68,0.918918918918919,0.42486268,True
pair_8_22,0008.ppm,0022.ppm,36,31,0.8611111111111112,0.44245,True
pair_8_23,0008.ppm,0023.ppm,77,60,0.7792207792207793,0.819514,True
pair_8_24,0008.ppm,0024.ppm,129,125,0.9689922480620154,0.42817333,True
pair_8_25,0008.ppm,0025.ppm,177,169,0.9548022598870056,0.39069697,True
pair_8_26,0008.ppm,0026.ppm,169,158,0.9349112426035503,0.76384103,True
pair_8_27,0008.ppm,0027.ppm,131,124,0.9465648854961832,0.34010392,True
pair_8_28,0008.ppm,0028.ppm,66,62,0.9393939393939394,0.5267931,True
pair_9_10,0009.ppm,0010.ppm,28,20,0.7142857142857143,0.29270947,True
pair_9_24,0009.ppm,0024.ppm,21,17,0.8095238095238095,0.3714824,True
pair_9_25,0009.ppm,0025.ppm,36,34,0.9444444444444444,0.38238212,True
pair_9_26,0009.ppm,0026.ppm,60,54,0.9,0.56805503,True
pair_9_27,0009.ppm,0027.ppm,86,80,0.9302325581395349,0.64302176,True
pair_9_28,0009.ppm,0028.ppm,89,83,0.9325842696629213,0.39029813,True
pair_9_29,0009.ppm,0029.ppm,63,61,0.9682539682539683,0.5609626,True
pair_10_11,0010.ppm,0011.ppm,45,36,0.8,0.6484549,True
pair_10_28,0010.ppm,0028.ppm,22,18,0.8181818181818182,0.805915,True
pair_10_29,0010.ppm,0029.ppm,22,19,0.8636363636363636,0.41568956,True
pair_10_30,0010.ppm,0030.ppm,46,39,0.8478260869565217,0.5690538,True
pair_10_31,0010.ppm,0031.ppm,40,32,0.8,0.62219095,True
pair_10_32,0010.ppm,0032.ppm,39,34,0.8717948717948718,0.56867355,True
pair_11_12,0011.ppm,0012.ppm,67,60,0.8955223880597015,0.8045592,True
pair_11_13,0011.ppm,0013.ppm,36,28,0.7777777777777778,0.8276703,True
pair_11_32,0011.ppm,0032.ppm,61,58,0.9508196721311475,0.4499296,True
pair_11_33,0011.ppm,0033.ppm,108,100,0.9259259259259259,0.650069,True
pair_11_34,0011.ppm,0034.ppm,118,95,0.8050847457627118,0.88338125,True
pair_11_35,0011.ppm,0035.ppm,89,77,0.8651685393258427,0.66023946,True
pair_12_13,0012.ppm,0013.ppm,202,187,0.9257425742574258,0.34084815,True
pair_12_14,0012.ppm,0014.ppm,96,86,0.8958333333333334,0.6943182,True
pair_12_15,0012.ppm,0015.ppm,41,33,0.8048780487804879,0.5291947,True
pair_12_32,0012.ppm,0032.ppm,36,28,0.7777777777777778,0.45946965,True
pair_12_33,0012.ppm,0033.ppm,90,83,0.9222222222222223,0.5200334,True
pair_12_34,0012.ppm,0034.ppm,142,136,0.9577464788732394,0.58580565,True
pair_12_35,0012.ppm,0035.ppm,231,220,0.9523809523809523,0.5157314,True
pair_13_14,0013.ppm,0014.ppm,151,140,0.9271523178807947,0.6423959,True
pair_13_15,0013.ppm,0015.ppm,59,48,0.8135593220338984,0.5284448,True
pair_13_16,0013.ppm,0016.ppm,21,15,0.7142857142857143,0.76819766,True
pair_13_32,0013.ppm,0032.ppm,21,15,0.7142857142857143,0.8725212,True
pair_13_33,0013.ppm,0033.ppm,42,35,0.8333333333333334,0.7085177,True
pair_13_34,0013.ppm,0034.ppm,73,63,0.863013698630137,0.48792014,True
pair_13_35,0013.ppm,0035.ppm,145,132,0.9103448275862069,0.44546485,True
pair_14_15,0014.ppm,0015.ppm,136,119,0.875,0.5306589,True
pair_14_16,0014.ppm,0016.ppm,34,29,0.8529411764705882,0.51066154,True
pair_14_34,0014.ppm,0034.ppm,32,24,0.75,0.40495744,True
pair_14_35,0014.ppm,0035.ppm,52,45,0.8653846153846154,0.6125261,True
pair_15_16,0015.ppm,0016.ppm,67,61,0.9104477611940298,0.36423782,True
pair_15_17,0015.ppm,0017.ppm,26,21,0.8076923076923077,0.8030999,True
pair_16_17,0016.ppm,0017.ppm,33,22,0.6666666666666666,0.34198448,True
pair_17_18,0017.ppm,0018.ppm,35,29,0.8285714285714286,0.44793433,True
