# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
1 -0.2747628390789032 -0.36005839705467224 1.2318936586380005 255 255 255 1.0 4 0
2 -0.18842187523841858 -0.27295950055122375 1.140945315361023 255 255 255 1.0 4 1
3 -0.18296994268894196 -0.2707405090332031 1.1370723247528076 255 255 255 1.0 4 2
4 -0.19726267457008362 -0.27195069193840027 1.1502431631088257 255 255 255 1.0 4 3
5 -0.2028299868106842 -0.27104973793029785 1.1538830995559692 255 255 255 1.0 4 4
6 -0.2026589810848236 -0.2705162763595581 1.1556776762008667 255 255 255 1.0 4 5
7 -0.21931606531143188 -0.2631298005580902 1.1746175289154053 255 255 255 1.0 4 6
8 -0.14581522345542908 -0.2401037961244583 1.106285572052002 255 255 255 1.0 4 7
9 -0.14830659329891205 -0.2394189089536667 1.10775887966156 255 255 255 1.0 4 8
10 -0.1471119523048401 -0.23914718627929688 1.107532024383545 255 255 255 1.0 4 9
11 -0.14585252106189728 -0.23882903158664703 1.1065006256103516 255 255 255 1.0 4 10
12 -0.18163669109344482 -0.24311013519763947 1.1303523778915405 255 255 255 1.0 4 11
13 -0.16288553178310394 -0.23942942917346954 1.1141583919525146 255 255 255 1.0 4 12
14 -0.22568193078041077 -0.24846677482128143 1.1840704679489136 255 255 255 1.0 4 13
15 -0.13873247802257538 -0.2217392921447754 1.1051167249679565 255 255 255 1.0 4 14
16 -0.19938424229621887 -0.23181937634944916 1.1638476848602295 255 255 255 1.0 4 15
17 -0.20138905942440033 -0.2325304001569748 1.1684339046478271 255 255 255 1.0 4 16
18 -0.2635922133922577 -0.2384091466665268 1.2180778980255127 255 255 255 1.0 4 17
19 -0.14978419244289398 -0.21683143079280853 1.1117874383926392 255 255 255 1.0 4 18
20 -0.14812840521335602 -0.21608465909957886 1.1107302904129028 255 255 255 1.0 4 19
21 -0.19113372266292572 -0.22494149208068848 1.1610478162765503 255 255 255 1.0 4 20
22 -0.1498919576406479 -0.2160893827676773 1.1151869297027588 255 255 255 1.0 4 21
23 -0.15402568876743317 -0.21544446051120758 1.1170523166656494 255 255 255 1.0 4 22
24 -0.20245042443275452 -0.22064092755317688 1.1622918844223022 255 255 255 1.0 4 23
25 -0.1934598982334137 -0.21929557621479034 1.1574245691299438 255 255 255 1.0 4 24 4 25
26 -0.1976618617773056 -0.21901008486747742 1.1582592725753784 255 255 255 1.0 4 24 4 25
27 -0.1905922144651413 -0.21762360632419586 1.1502817869186401 255 255 255 1.0 4 26
28 -0.19264385104179382 -0.21591418981552124 1.150181770324707 255 255 255 1.0 4 27
29 -0.18711350858211517 -0.21383041143417358 1.1460850238800049 255 255 255 1.0 4 28
30 -0.17205338180065155 -0.20952780544757843 1.1294825077056885 255 255 255 1.0 4 29 4 30
31 -0.17240360379219055 -0.21062128245830536 1.1368682384490967 255 255 255 1.0 4 29 4 30
32 -0.2193162441253662 -0.21692430973052979 1.1782517433166504 255 255 255 1.0 4 31
33 -0.22234438359737396 -0.21602673828601837 1.1833895444869995 255 255 255 1.0 4 32
34 -0.24284566938877106 -0.2162678837776184 1.1956208944320679 255 255 255 1.0 4 33
35 -0.21882519125938416 -0.21173787117004395 1.1801234483718872 255 255 255 1.0 4 34
36 -0.22048085927963257 -0.21031153202056885 1.1754162311553955 255 255 255 1.0 4 35
37 -0.22071753442287445 -0.21035024523735046 1.1771260499954224 255 255 255 1.0 4 36
38 -0.22433096170425415 -0.20976096391677856 1.1761502027511597 255 255 255 1.0 4 37
39 -0.22274281084537506 -0.20994998514652252 1.1766960620880127 255 255 255 1.0 4 38
40 -0.2172747403383255 -0.20899072289466858 1.1716011762619019 255 255 255 1.0 4 39
41 -0.2122098207473755 -0.20859555900096893 1.170827865600586 255 255 255 1.0 4 40
42 -0.194926455616951 -0.2062416672706604 1.1610984802246094 255 255 255 1.0 4 41
43 -0.20848163962364197 -0.20674215257167816 1.1643176078796387 255 255 255 1.0 4 42
44 -0.20591650903224945 -0.20725491642951965 1.1699978113174438 255 255 255 1.0 4 43
45 -0.24124620854854584 -0.21056966483592987 1.1901977062225342 255 255 255 1.0 4 44
46 -0.2322445958852768 -0.20873191952705383 1.180347204208374 255 255 255 1.0 4 45
47 -0.2125413417816162 -0.20696477591991425 1.1685065031051636 255 255 255 1.0 4 46
48 -0.2036995142698288 -0.20620933175086975 1.1670966148376465 255 255 255 1.0 4 47
49 -0.19527503848075867 -0.2056799978017807 1.1656277179718018 255 255 255 1.0 4 48
50 -0.011676396243274212 -0.17761825025081635 1.002550482749939 255 255 255 1.0 4 49
51 -0.2092142254114151 -0.20572999119758606 1.1681811809539795 255 255 255 1.0 4 50
52 -0.010618926957249641 -0.17714479565620422 1.0021345615386963 255 255 255 1.0 4 51
53 -0.19626803696155548 -0.2042822241783142 1.1617414951324463 255 255 255 1.0 4 52
54 -0.19173617660999298 -0.2043498009443283 1.1616781949996948 255 255 255 1.0 4 53
55 -0.21047326922416687 -0.20614777505397797 1.174602746963501 255 255 255 1.0 4 54
56 -0.21326109766960144 -0.20472374558448792 1.1674355268478394 255 255 255 1.0 4 55
57 -0.20984196662902832 -0.20455360412597656 1.1650006771087646 255 255 255 1.0 4 56
58 -0.21463975310325623 -0.20478177070617676 1.1684871912002563 255 255 255 1.0 4 57
59 -0.21999099850654602 -0.20526114106178284 1.1728346347808838 255 255 255 1.0 4 58
60 -0.20908522605895996 -0.2051316350698471 1.1718335151672363 255 255 255 1.0 4 59
61 -0.20791715383529663 -0.20387974381446838 1.1674994230270386 255 255 255 1.0 4 60
62 -0.2017800360918045 -0.2041354924440384 1.1679935455322266 255 255 255 1.0 4 61
63 -0.20986118912696838 -0.2042471021413803 1.1713181734085083 255 255 255 1.0 4 62
64 -0.18891653418540955 -0.20169244706630707 1.1564861536026 255 255 255 1.0 4 63
65 -0.21131321787834167 -0.20354823768138885 1.1681674718856812 255 255 255 1.0 4 64
66 -0.19928371906280518 -0.2026049643754959 1.1626461744308472 255 255 255 1.0 4 65
67 -0.19445812702178955 -0.2019110471010208 1.1583577394485474 255 255 255 1.0 4 66
68 -0.21751272678375244 -0.20383046567440033 1.172723412513733 255 255 255 1.0 4 67
69 -0.1445867270231247 -0.19423173367977142 1.1165417432785034 255 255 255 1.0 4 68
70 -0.2026858776807785 -0.20183269679546356 1.1634355783462524 255 255 255 1.0 4 69
71 -0.21812014281749725 -0.20265474915504456 1.1695177555084229 255 255 255 1.0 4 70
72 -0.19617979228496552 -0.2008599489927292 1.1588959693908691 255 255 255 1.0 4 71
73 -0.19726306200027466 -0.20021210610866547 1.1575937271118164 255 255 255 1.0 4 72
74 -0.14576119184494019 -0.19341130554676056 1.116186261177063 255 255 255 1.0 4 73
75 -0.1861371248960495 -0.19834710657596588 1.1496344804763794 255 255 255 1.0 4 74
76 -0.018453270196914673 -0.17293953895568848 1.006415605545044 255 255 255 1.0 4 75
77 -0.09599725902080536 -0.18221506476402283 1.064483404159546 255 255 255 1.0 4 76
78 0.09903101623058319 -0.17619287967681885 1.0295549631118774 255 255 255 1.0 4 77
79 -0.17846952378749847 -0.1935219019651413 1.142076015472412 255 255 255 1.0 4 78
80 -0.19587698578834534 -0.19471903145313263 1.1522743701934814 255 255 255 1.0 4 79
81 -0.21589605510234833 -0.19623439013957977 1.1661165952682495 255 255 255 1.0 4 80
82 -0.21497078239917755 -0.1955270618200302 1.165284276008606 255 255 255 1.0 4 81
83 -0.172311469912529 -0.19032582640647888 1.1329551935195923 255 255 255 1.0 4 82
84 0.10044001787900925 -0.17207816243171692 1.0254913568496704 255 255 255 1.0 4 83
85 -0.2180861085653305 -0.1945130079984665 1.1668497323989868 255 255 255 1.0 4 84
86 -0.1596931517124176 -0.18532314896583557 1.1176480054855347 255 255 255 1.0 4 85
87 0.0159495547413826 -0.164503812789917 0.9895997643470764 255 255 255 1.0 4 86
88 -0.1543862670660019 -0.1842309534549713 1.1157740354537964 255 255 255 1.0 4 87
89 -0.1875244677066803 -0.18765662610530853 1.140873908996582 255 255 255 1.0 4 88
90 -0.1483008712530136 -0.18200208246707916 1.11135995388031 255 255 255 1.0 4 89
91 -0.15605837106704712 -0.18257029354572296 1.1164577007293701 255 255 255 1.0 4 90
92 0.02427837811410427 -0.16250166296958923 0.9892728924751282 255 255 255 1.0 4 91
93 -0.18922922015190125 -0.18639765679836273 1.1414601802825928 255 255 255 1.0 4 92
94 -0.1913234293460846 -0.1858132928609848 1.1419981718063354 255 255 255 1.0 4 93
95 -0.18999667465686798 -0.1855454295873642 1.1409879922866821 255 255 255 1.0 4 94
96 -0.19270607829093933 -0.18496264517307281 1.1382695436477661 255 255 255 1.0 4 95
97 0.010729356668889523 -0.16193540394306183 0.9921582937240601 255 255 255 1.0 4 96
98 0.2303551733493805 -0.18035383522510529 1.1066486835479736 255 255 255 1.0 4 97
99 0.008948872797191143 -0.1601082980632782 0.9867473840713501 255 255 255 1.0 4 98
100 0.017311032861471176 -0.16085515916347504 0.9919641613960266 255 255 255 1.0 4 99
101 -0.18836738169193268 -0.1828129142522812 1.1336421966552734 255 255 255 1.0 4 100
102 0.014862440526485443 -0.16006191074848175 0.9875035881996155 255 255 255 1.0 4 101
103 -0.19346249103546143 -0.18412603437900543 1.1427490711212158 255 255 255 1.0 4 102
104 0.01422907318919897 -0.16049671173095703 0.991309642791748 255 255 255 1.0 4 103
105 -0.19776809215545654 -0.1834164559841156 1.1463606357574463 255 255 255 1.0 4 104
106 -0.19425542652606964 -0.1826130747795105 1.1424075365066528 255 255 255 1.0 4 105
107 -0.19049912691116333 -0.18091809749603271 1.1344345808029175 255 255 255 1.0 4 106
108 -0.17386338114738464 -0.17961181700229645 1.1252002716064453 255 255 255 1.0 4 107
109 -0.19396410882472992 -0.18193602561950684 1.1432642936706543 255 255 255 1.0 4 108
110 0.24799607694149017 -0.1789710521697998 1.124819040298462 255 255 255 1.0 4 109
111 -0.19474869966506958 -0.18064382672309875 1.1428806781768799 255 255 255 1.0 4 110
112 -0.19837333261966705 -0.1812184602022171 1.147694706916809 255 255 255 1.0 4 111
113 -0.19290532171726227 -0.17990875244140625 1.1392582654953003 255 255 255 1.0 4 112
114 -0.08205804973840714 -0.166096031665802 1.0535460710525513 255 255 255 1.0 4 113
115 -0.23757731914520264 -0.18595433235168457 1.1842130422592163 255 255 255 1.0 4 114
